"file","owner","hardcodedColor","rawControls","inlineStyles","missingAlt","libraries"
"src/components/driver-app/driver-app.tsx","deliveries","0","0","0","0","@/components/ui/alert ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/dialog ; @/components/ui/input ; @/components/ui/label ; @/components/ui/select ; @/components/ui/separator ; @/components/ui/switch ; @/components/ui/textarea"
"src/components/identity/identity-verification-form.tsx","identity","14","2","0","0","@/components/ui/alert ; @/components/ui/button ; @/components/ui/card ; @/components/ui/input ; @/components/ui/label"
"src/components/kokonutui/team-selector.tsx","residences (composant à remplacer)","37","2","1","0",""
"src/components/landing/components/AboutPlatform.tsx","presentation transverse / domaine de la route","49","0","1","0",""
"src/components/landing/components/BackgroundDecoration.tsx","presentation transverse / domaine de la route","0","0","1","1",""
"src/components/landing/components/Benefits.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/landing/components/BlurText.tsx","presentation transverse / domaine de la route","0","0","1","0",""
"src/components/landing/components/CTA.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/landing/components/ClickSpark.tsx","presentation transverse / domaine de la route","0","0","2","0",""
"src/components/landing/components/CurvedLoop.tsx","presentation transverse / domaine de la route","0","0","2","0",""
"src/components/landing/components/DashboardShowcase.tsx","presentation transverse / domaine de la route","49","8","0","0",""
"src/components/landing/components/FeatureGrid.tsx","presentation transverse / domaine de la route","30","0","4","0",""
"src/components/landing/components/Footer.tsx","presentation transverse / domaine de la route","1","1","1","0",""
"src/components/landing/components/Hero.tsx","presentation transverse / domaine de la route","1","1","2","0",""
"src/components/landing/components/InteractiveDashboard.tsx","presentation transverse / domaine de la route","136","12","0","0",""
"src/components/landing/components/LogoLoop.tsx","presentation transverse / domaine de la route","0","0","1","0",""
"src/components/landing/components/Magnet.tsx","presentation transverse / domaine de la route","0","0","2","0",""
"src/components/landing/components/Navbar.tsx","presentation transverse / domaine de la route","0","0","0","0","@/components/ui/app-logo"
"src/components/landing/components/PixelCard.tsx","presentation transverse / domaine de la route","0","0","1","0",""
"src/components/landing/components/Pricing.tsx","presentation transverse / domaine de la route","0","0","2","0",""
"src/components/landing/components/ScrollStack.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/landing/components/ShapeGrid.tsx","presentation transverse / domaine de la route","0","0","0","0",""
"src/components/landing/components/StaggeredMenu.tsx","presentation transverse / domaine de la route","0","1","2","0","gsap"
"src/components/landing/components/Testimonials.tsx","presentation transverse / domaine de la route","6","0","2","0",""
"src/components/landing/components/TrustedBy.tsx","presentation transverse / domaine de la route","2","0","0","0",""
"src/components/landing/components/VariableProximity.tsx","presentation transverse / domaine de la route","0","0","4","0",""
